A3	K16~IO_25_15	K16
A28	B12~IO_L3N_T0_DQS_AD1N_15	B12
B28	C12~IO_L3P_T0_DQS_AD1P_15	C12
A29	A14~IO_L9N_T1_DQS_AD3N_15	A14
B29	A13~IO_L9P_T1_DQS_AD3P_15	A13
A30	B11~IO_L4P_T0_15	B11
B30	A11~IO_L4N_T0_15	A11

C3	U9~IO_L21P_T3_DQS_34	U9
D3	V9~IO_L21N_T3_DQS_34	V9
C4	U8~IO_25_34	U8
D4	V7~IO_L20P_T3_34	V7
C5	U7~IO_L22P_T3_34	U7
D5	V6~IO_L20N_T3_34	V6
C6	U6~IO_L22N_T3_34	U6
D6	V5~IO_L10P_T1_34	V5
C7	T8~IO_L24N_T3_34	T8
D7	V4~IO_L10N_T1_34	V4
C8	R8~IO_L24P_T3_34	R8
D8	T5~IO_L12P_T1_MRCC_34	T5
C9	R7~IO_L23P_T3_34	R7
D9	T4~IO_L12N_T1_MRCC_34	T4
C10	T6~IO_L23N_T3_34	T6
D10	U4~IO_L8P_T1_34	U4
C11	R6~IO_L19P_T3_34	R6
D11	U3~IO_L8N_T1_34	U3
C12	R5~IO_L19N_T3_VREF_34	R5
D12	V1~IO_L7N_T1_34	V1
C13	V2~IO_L9N_T1_DQS_34	V2
D13	U1~IO_L7P_T1_34	U1
C14	U2~IO_L9P_T1_DQS_34	U2
D14	T3~IO_L11N_T1_SRCC_34	T3
C15	K6~IO_0_34	K6
D15	R3~IO_L11P_T1_SRCC_34	R3
C19	N6~IO_L18N_T2_34	N6
D19	P5~IO_L13N_T2_MRCC_34	P5
C20	M6~IO_L18P_T2_34	M6
D20	N5~IO_L13P_T2_MRCC_34	N5
C21	L6~IO_L6P_T0_34	L6
D21	P4~IO_L14P_T2_SRCC_34	P4
C22	L5~IO_L6N_T0_VREF_34	L5
D22	P3~IO_L14N_T2_SRCC_34	P3
C23	N4~IO_L16N_T2_34	N4
D23	T1~IO_L17N_T2_34	T1
C24	M4~IO_L16P_T2_34	M4
D24	R1~IO_L17P_T2_34	R1
C25	M3~IO_L4P_T0_34	M3
D25	R2~IO_L15N_T2_DQS_34	R2
C26	M2~IO_L4N_T0_34	M2
D26	P2~IO_L15P_T2_DQS_34	P2
C27	K5~IO_L5P_T0_34	K5
D27	N2~IO_L3P_T0_DQS_34	N2
C28	L4~IO_L5N_T0_34	L4
D28	N1~IO_L3N_T0_DQS_34	N1
C29	L3~IO_L2N_T0_34	L3
D29	M1~IO_L1N_T0_34	M1
C30	K3~IO_L2P_T0_34	K3
D30	L1~IO_L1P_T0_34	L1

-	CLKOUT/FXCLK	P15

-	IFCLK	P17

-	PB0/FD0	M16
-	PB1/FD1	L16
-	PB2/FD2	L14
-	PB3/FD3	M14
-	PB4/FD4	L18
-	PB5/FD5	M18
-	PB6/FD6	R12
-	PB7/FD7	R13

-	PD0/FD8	T9
-	PD1/FD9	V10
-	PD2/FD10	U11
-	PD3/FD11	V11
-	PD4/FD12	V12
-	PD5/FD13	U13
-	PD6/FD14	U14
-	PD7/FD15	V14

-	PA0/INT0#	R15
-	PA1/INT1#	T15
-	PA2/*SLOE	T14
-	PA3/*WU2	T13
-	PA4/FIFOADR0	R11
-	PA5/FIFOADR1	T11
-	PA6/*PKTEND	R10
-	PA7/*FLAGD/SLCS#	T10

-	PC0/GPIFADR0	R17
-	PC1/GPIFADR1	R18
-	PC2/GPIFADR2	P18
-	PC3/GPIFADR3	P14
-	PC4/GPIFADR4	K18
-	PC5/GPIFADR5	L13
-	PC6/GPIFADR6	E9
-	PC7/GPIFADR7	K17

-	PE0/T0OUT	P10
-	PE1/T1OUT	P7
-	PE2/T2OUT	V15
-	PE5/INT6	R16
-	PE6/T2EX	T16

-	RDY0/*SLRD	V16
-	RDY1/*SLWR	U16
-	RDY2	V17
-	RDY3	U17
-	RDY4	U18
-	RDY5	T18

-	CTL0/*FLAGA	N16
-	CTL1/*FLAGB	N15
-	CTL2/*FLAGC	N14
-	CTL3	N17
-	CTL4	M13

-	INT4	D10
-	INT5#	U12
-	T0	M17

-	SCL	B8
-	SDA	A10

-	RxD0	A8
-	TxD0	A9
