A3	M17~IO_25_15	M17
D24	G2~IO_L8N_T1_AD14N_35	G2
C25	F3~IO_L6P_T0_35	F3
D25	G1~IO_L5P_T0_AD13P_35	G1
C26	E3~IO_L6N_T0_VREF_35	E3
D26	F1~IO_L5N_T0_AD13N_35	F1
C27	E2~IO_L4P_T0_35	E2
D27	E1~IO_L3P_T0_DQS_AD5P_35	E1
C28	D2~IO_L4N_T0_35	D2
D28	D1~IO_L3N_T0_DQS_AD5N_35	D1
C29	C2~IO_L2P_T0_AD12P_35	C2
D29	B1~IO_L1P_T0_AD4P_35	B1
C30	B2~IO_L2N_T0_AD12N_35	B2
D30	A1~IO_L1N_T0_AD4N_35	A1

-	CLK26	V13

-	IFCLK100	W11

-	DQ0	P22
-	DQ1	R22
-	DQ2	P21
-	DQ3	R21
-	DQ4	T21
-	DQ5	U21
-	DQ6	P19
-	DQ7	R19
-	DQ8	T20
-	DQ9	W21
-	DQ10	W22
-	DQ11	AA20
-	DQ12	AA21
-	DQ13	Y22
-	DQ14	AB21
-	DQ15	AB22

-	GPIO38/RDWR_B	AA19
-	GPIO39/CSI_B	V17

-	GPIO46/UART_RTS	AB20
-	GPIO47/UART_CTS	AB18
-	GPIO48/UART_TX	AB17
-	GPIO49/UART_RX	AA18

-	CTL0/SLCS#/GPIO17	W10
-	CTL1/SLWR#/GPIO18	Y12
-	CTL2/SLOE#/GPIO19	AA13
-	CTL3/SLRD#/GPIO20	AB12
-	CTL4/FLAGA/GPIO21	AB11
-	CTL5/FLAGB/GPIO22	AB13
-	CTL6/GPIO23	AA14
-	CTL7/PKTEND#/GPIO24	AA10
-	CTL8/GPIO25	AB16
-	CTL9/GPIO26	AB15
-	CTL11/A1/GPIO28	AA16
-	CTL12/A0/GPIO29	AA15
-	INT#/CTL15	AA11

-	SCL	AB10
-	SDA	AA9

-	FPGA_CLK	Y17
-	FPGA_CS#	Y16
-	FPGA_MISO	Y14
-	FPGA_MOSI	W15

-	LED1:red	V10
